timestamp_us,lat_synth,lon_synth,v_north_mps,v_east_mps,gps_heading_deg
19523367,43.48269333333333,-80.54181983333334,0.0,0.0,0
19610259,43.48269333333333,-80.54181983333334,0.0,0.0,0
19706598,43.48269333333333,-80.54181983333334,0.0,0.0,0
20005818,43.48269333333333,-80.54181983333334,0.0,0.0,0
20308328,43.482693166666664,-80.54181983333334,0.0,0.0,0
20408991,43.482693166666664,-80.54181983333334,0.0,0.0,0
20608496,43.482693166666664,-80.54182,0.0,0.0,0
20706901,43.482693166666664,-80.54182,0.0,0.0,0
21007492,43.482693166666664,-80.54182,0.0,0.0,0
22006582,43.48269333333333,-80.54182,0.0,0.0,0
22306552,43.48269333333333,-80.54182016666667,0.0,0.0,0
22407719,43.48269333333333,-80.54182016666667,0.0,0.0,0
22608775,43.48269333333333,-80.54182016666667,0.0,0.0,0
23006285,43.4826935,-80.54182016666667,0.0,0.0,0
23307640,43.4826935,-80.54182016666667,0.0,0.0,0
23406680,43.4826935,-80.54182033333333,0.0,0.0,0
23607868,43.48269333333333,-80.54182033333333,0.0,0.0,0
23705055,43.48269333333333,-80.54182033333333,0.0,0.0,0
24305872,43.48269333333333,-80.54182033333333,0.0,0.0,0
24403768,43.48269333333333,-80.54182033333333,0.0,0.0,0
24704582,43.482693166666664,-80.54182066666667,0.0,0.0,226
25005375,43.48269233333333,-80.54182116666667,0.0,0.0,203
25608176,43.482689666666666,-80.54182266666666,0.0,0.0,203
26609540,43.48268,-80.54182916666667,0.0,0.0,208
26907994,43.482675666666665,-80.5418325,0.0,0.0,209
27208675,43.4826705,-80.54183716666667,0.0,0.0,213
27306765,43.48266866666667,-80.541839,0.0,0.0,215
27609113,43.48266266666667,-80.5418455,0.0,0.0,217
27908783,43.482656666666664,-80.54185316666667,0.0,0.0,223
28007099,43.48265466666667,-80.54185566666666,0.0,0.0,223
28305610,43.482648833333336,-80.54186433333334,0.0,0.0,228
28907239,43.48263766666667,-80.54188416666666,0.0,0.0,235
29006445,43.482636166666666,-80.541888,0.0,0.0,238
29214240,43.482633,-80.5418955,0.0,0.0,241
29306773,43.48263166666667,-80.5418995,0.0,0.0,242
29604491,43.482627666666666,-80.541912,0.0,0.0,246
30209416,43.4826215,-80.54193966666666,0.0,0.0,255
30606144,43.482619166666666,-80.54195983333334,0.0,0.0,260
30908600,43.482618333333335,-80.54197516666666,0.0,0.0,265
31608065,43.48261766666667,-80.5420105,0.0,0.0,269
31909062,43.482618,-80.54202533333333,0.0,0.0,271
32208965,43.48261866666667,-80.54204066666667,0.0,0.0,272
32306121,43.482619,-80.54204583333333,0.0,0.0,272
32608839,43.482619666666665,-80.54206083333334,0.0,0.0,271
32906366,43.48261983333333,-80.542076,0.0,0.0,268
33004980,43.48261983333333,-80.542081,0.0,0.0,267
33209724,43.482619166666666,-80.54209083333333,0.0,0.0,263
33905458,43.482613,-80.5421235,0.0,0.0,247
34604460,43.482598833333334,-80.54215,0.0,0.0,225
34806353,43.482593333333334,-80.54215583333334,0.0,0.0,217
35208172,43.48258116666667,-80.54216483333333,0.0,0.0,204
36206795,43.4825445,-80.5421695,0.0,0.0,171
36606972,43.4825295,-80.54216283333334,0.0,0.0,159
36908211,43.482518666666664,-80.54215533333333,0.0,0.0,151
37205507,43.4825085,-80.54214583333334,0.0,0.0,146
39206369,43.482453,-80.54205633333333,0.0,0.0,127
39808071,43.482437166666664,-80.54202933333333,0.0,0.0,131
40108183,43.48242833333333,-80.54201766666667,0.0,0.0,138
40410191,43.482418833333334,-80.54200733333333,0.0,0.0,144
40532314,43.482415333333336,-80.54200433333334,0.0,0.0,148
41208185,43.482389,-80.5419915,0.0,0.0,169
41806532,43.482366166666665,-80.541993,0.0,0.0,190
41906882,43.4823625,-80.54199433333334,0.0,0.0,194
42529961,43.482342833333334,-80.54200866666666,0.0,0.0,214
42717469,43.482337,-80.54201566666667,0.0,0.0,220
43105532,43.48232733333333,-80.542032,0.0,0.0,233
43205395,43.482325333333335,-80.5420365,0.0,0.0,237
43406363,43.48232183333333,-80.542046,0.0,0.0,243
43707660,43.482318,-80.54206133333334,0.0,0.0,252
43805330,43.482317,-80.5420665,0.0,0.0,254
44107803,43.482315166666666,-80.54208266666667,0.0,0.0,261
44526562,43.482314833333334,-80.54210466666666,0.0,0.0,270
44806000,43.48231633333333,-80.54212133333333,0.0,0.0,277
45106549,43.4823185,-80.54213783333333,0.0,0.0,279
45408213,43.4823215,-80.542154,0.0,0.0,282
45529270,43.4823225,-80.5421595,0.0,0.0,283
45806753,43.48232566666667,-80.5421755,0.0,0.0,284
46410531,43.48233166666667,-80.54220683333334,0.0,0.0,281
46526230,43.4823325,-80.542212,0.0,0.0,281
46706324,43.482333833333335,-80.54222233333333,0.0,0.0,278
47106174,43.4823355,-80.542243,0.0,0.0,272
47528544,43.48233483333333,-80.54226316666667,0.0,0.0,262
48009424,43.48232983333333,-80.54228633333334,0.0,0.0,247
48406447,43.48232266666667,-80.54230233333334,0.0,0.0,233
48531302,43.482320333333334,-80.54230566666666,0.0,0.0,229
48806502,43.48231283333333,-80.54231483333334,0.0,0.0,218
49106214,43.482304,-80.5423215,0.0,0.0,206
49531733,43.48229083333333,-80.5423265,0.0,0.0,192
49804470,43.4822805,-80.542327,0.0,0.0,179
50108099,43.48227,-80.54232483333334,0.0,0.0,168
50531163,43.482256666666665,-80.5423175,0.0,0.0,154
