Cone #,Lat,Lon,Alt
0,43.477687,-80.54593646666666,339.5
1,43.47766033333333,-80.54591606666666,339.82
2,43.47773386666667,-80.54577683333333,340.6
3,43.477818733333336,-80.54561146666667,340.06
4,43.4777804,-80.54537026666667,340.3
5,43.4777146,-80.54546886666668,340.7
6,43.4776665,-80.54547006666667,341.1
