timestamp_us,lat_synth,lon_synth,alt_synth,vehicle_heading_deg,ground_track_deg,roll_deg,pitch_deg,yaw_deg,v_north_mps,v_east_mps,v_down_mps,speed_mps
1128601000,43.4776825,-80.54529533333333,342.6000061035156,359.92377,359.92377,0.45185882,1.0673062,-0.07624466,0.0,0.0,0.0,0.0
1128725252,43.4776825,-80.54529533333333,342.6000061035156,359.95062,359.95062,0.5156653,1.1106055,-0.049388465,0.0,0.0,0.0,0.0
1128860808,43.4776825,-80.54529533333333,342.6000061035156,359.9579,359.9579,0.5427963,1.1093848,-0.042125545,0.0,0.0,0.0,0.0
1129448054,43.4776825,-80.54529533333333,342.6000061035156,359.9769,359.9769,0.5654982,1.1232046,-0.023100933,0.0,0.0,0.0,0.0
1129661921,43.4776825,-80.54529533333333,342.6000061035156,0.016914569,0.016914569,0.6127028,1.1527784,0.016914569,0.0,0.0,0.0,0.0
1129762213,43.4776825,-80.54529533333333,342.6000061035156,0.040436205,0.040436205,0.59847635,1.1836671,0.040436205,0.0,0.0,0.0,0.0
1129875873,43.4776825,-80.54529533333333,342.6000061035156,0.08205282,0.08205282,0.6279605,1.2327354,0.08205282,0.0,0.0,0.0,0.0
1129999345,43.4776825,-80.54529533333333,342.6000061035156,0.10579514,0.10579514,0.6252783,1.2565328,0.10579514,0.0,0.0,0.0,0.0
1130124370,43.4776825,-80.54529533333333,342.6000061035156,0.13414924,0.13414924,0.6036458,1.277858,0.13414924,0.0,0.0,0.0,0.0
1130247879,43.4776825,-80.54529533333333,342.6000061035156,0.19466059,0.19466059,0.6393763,1.3256453,0.19466059,0.0,0.0,0.0,0.0
1130374075,43.4776825,-80.54529533333333,342.6000061035156,0.26086336,0.26086336,0.6572829,1.3772428,0.26086336,0.0,0.0,0.0,0.0
1130495248,43.4776825,-80.54529533333333,342.6000061035156,0.29587185,0.29587185,0.6824983,1.3996856,0.29587185,0.0,0.0,0.0,0.0
1130617596,43.4776825,-80.54529533333333,342.6000061035156,0.33286873,0.33286873,0.7269279,1.4110608,0.33286873,0.0,0.0,0.0,0.0
1130751731,43.4776825,-80.54529533333333,342.6000061035156,0.48302862,0.48302862,0.828901,1.4733385,0.48302862,0.0,0.0,0.0,0.0
1130899635,43.4776825,-80.54529533333333,342.6000061035156,0.56503856,0.56503856,0.84139335,1.5309416,0.56503856,0.0,0.0,0.0,0.0
1131025070,43.4776825,-80.54529533333333,342.6000061035156,0.65330595,0.65330595,0.9060894,1.5655806,0.65330595,0.0,0.0,0.0,0.0
1131676994,43.47768240969194,-80.54529525224218,342.6131900437045,0.7435251,213.08757,0.9542374,1.6253886,0.7435251,-0.1005309390000768,0.06550421788776041,-0.13183940188889862,0.11998863386723076
1132077180,43.47768191895131,-80.54529489810406,342.62285188453075,0.8362917,209.95158,0.98194736,1.6623677,0.8362917,-0.3696119092785517,0.21297928502650715,0.01997321729198162,0.426583097802689
1132200851,43.47768146198953,-80.54529438592368,342.6075734893278,0.9338404,215.97356,1.0056602,1.6889244,0.9338404,-0.4696467012235749,0.34088723690095535,0.15568279172323898,0.5803207149948671
1132322923,43.47768092262192,-80.54529376122342,342.5868200376872,0.9850377,220.04521,1.0338758,1.7070432,0.9850377,-0.6004240260517327,0.5046236057332192,0.20753451640647233,0.7843175342444967
1132460679,43.477679801938066,-80.5452926209772,342.5511902215467,1.0897311,216.02615,1.0679142,1.7468703,1.0897311,-1.0060730884197853,0.7316569642118083,0.27324992081579996,1.2439875290862705
1132576606,43.47767873530445,-80.54529150208545,342.51150424627014,1.1391522,217.27818,1.0948056,1.7646074,1.1391522,-1.1873765424010163,0.9038241501798175,0.3968597527651937,1.4922336103614815
1132726118,43.47767684464181,-80.54528954920706,342.44107373107437,1.3048282,216.64183,1.1454778,1.8353239,1.3048282,-1.479509063266024,1.100457265656288,0.5197747995383801,1.8438962177470894
1133048876,43.47767523350945,-80.54528797636813,342.3984618421241,1.3718041,215.31358,1.1613412,1.8675435,1.3718041,-1.7935125489048565,1.2705159418367944,0.42611888950288124,2.1979303950627354
1133358627,43.4776732335099,-80.54528613590905,342.35443775372676,1.4371488,213.73332,1.1702547,1.889722,1.4371488,-2.226399501580871,1.4866955445904075,0.4402408839733821,2.6771474339200148
1133544015,43.47767085557104,-80.54528399591202,342.30040396614913,1.5012003,213.14586,1.2127757,1.9132233,1.5012003,-2.6471215318564054,1.728657857691392,0.5403378757762637,3.1615677113381575
1133666798,43.47766756371226,-80.54528132659605,342.25481852002196,1.617201,209.8265,1.1943209,1.9940891,1.617201,-3.0915839674752386,1.7724664308549045,0.3141987876005528,3.5636398073398863
1133949744,43.477663706028885,-80.54527846717278,342.19860500307243,1.7266988,208.0852,1.1936545,2.054839,1.7266988,-3.506595340438851,1.8711839082435548,0.47788550888888115,3.974611943329447
