src_mac,node_position,node_instance,timestamp_us,message_type,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed_kts,heading,utc_time_year,utc_time_month,utc_time_day,utc_time_hours,utc_time_minutes,utc_time_seconds,utc_time_millis,magic,error
58:8C:81:40:BE:24,Center,1,124003,Imu,-0.025132,0.057827998,0.99112797,-1.68,38.64,-3.535,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,155134,Imu,-0.02074,0.061732,1.029924,-1.855,38.99,-3.64,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,186104,Imu,-0.024156,0.069052,0.98600405,-1.68,37.205,-3.605,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,217273,Imu,0.028792,0.032208,1.0535921,0.035,-1.89,-1.225,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,248087,Heartbeat,,,,,,,,,,,,,,,,,,,66,
58:8C:81:40:BE:24,Center,1,279161,Gps,,,,,,,43.477665,-80.54597583333333,341.5,0.028,0,2026,3,8,21,30,6,0,,
58:8C:81:40:BE:24,Center,1,310385,Imu,-0.017812,0.066124,0.986736,-1.61,38.815,-3.5,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,341113,Imu,-0.030256001,0.058560003,1.005524,-1.68,39.305,-3.465,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,372176,Imu,-0.021960001,0.058072,0.990884,-1.715,36.33,-3.605,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,403260,Imu,0.038796,0.04514,1.064816,-0.84,0.035,-0.7,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,434037,Imu,-0.030256001,0.07564,0.96672803,-1.645,39.025,-3.535,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,465093,Imu,-0.022204,0.059536,1.031876,-1.575,35.28,-3.5,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,501329,Imu,-0.021716,0.054412,0.951844,-1.645,38.36,-3.5,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,531697,Imu,0.033916,0.035624,1.056276,5.355,-0.945,-1.085,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,562518,Imu,-0.0366,0.05734,1.037244,-1.645,39.165,-3.465,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,593230,Imu,-0.027328001,0.065391995,0.979416,-1.61,39.48,-3.535,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,623617,Imu,-0.02318,0.052704003,1.042124,-1.715,32.935,-3.5,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,654388,Imu,0.040504,0.045628004,1.0379759,1.19,-2.765,-0.91,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,685471,Gps,,,,,,,43.477665,-80.54597583333333,341.5,0.024,0,2026,3,8,21,30,6,0,,
58:8C:81:40:BE:1C,Center,0,716689,Imu,0.032208,0.039772,1.03944,0.77,-2.205,-0.98,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,747486,Imu,0.029768,0.05734,1.016504,2.065,-0.595,-0.875,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,778841,Gps,,,,,,,43.477665,-80.54597583333333,341.5,0.006,0,2026,3,8,21,30,6,0,,
58:8C:81:40:BE:1C,Center,0,809395,Imu,0.027816,0.049532,1.014796,2.1,-0.875,-0.91,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,840412,Imu,0.024644,0.041968003,1.059204,-0.49,-0.14,-0.84,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,871549,Imu,0.044652,0.048312,1.037244,-1.085,-2.45,-0.91,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,902394,Gps,,,,,,,43.477665,-80.54597583333333,341.5,0.039,0,2026,3,8,21,30,6,0,,
58:8C:81:40:BE:1C,Center,0,933643,Imu,0.034404,0.040748,1.0309,0.63,-2.94,-1.12,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,964358,Imu,0.033916,0.049776003,0.999668,1.54,-0.385,-0.84,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,1001822,Gps,,,,,,,43.477665,-80.54597583333333,341.5,0.039,0,2026,3,8,21,30,6,0,,
58:8C:81:40:BE:1C,Center,0,1032226,Imu,0.025864,0.04758,1.0111359,2.765,-0.175,-0.945,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,1063102,Imu,-0.020008,0.070760004,1.007964,-1.75,38.99,-3.605,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,1094317,Imu,-0.011224,0.064660005,1.016992,-1.68,38.99,-3.5,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,1125244,Imu,-0.022691999,0.06807601,1.01748,-1.715,39.13,-3.605,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,1155953,Imu,-0.022448,0.058804,0.993812,-1.82,39.06,-3.535,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,1186297,Imu,0.033428002,0.050508,1.00284,2.485,-0.42,-1.015,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,1217198,Imu,0.027816,0.039284002,1.062132,-0.455,-0.105,-0.805,,,,,,,,,,,,,,
