frame_idx,filename,session_us,wall_utc_iso
0,cam0_sess000002929933_000000.jpg,2929933,2026-03-08T17:30:10.151595
1,cam0_sess000003034409_000001.jpg,3034409,2026-03-08T17:30:10.256071
2,cam0_sess000003138809_000002.jpg,3138809,2026-03-08T17:30:10.360472
3,cam0_sess000003243228_000003.jpg,3243228,2026-03-08T17:30:10.464891
4,cam0_sess000003347658_000004.jpg,3347658,2026-03-08T17:30:10.569320
5,cam0_sess000003452089_000005.jpg,3452089,2026-03-08T17:30:10.673753
6,cam0_sess000003556534_000006.jpg,3556534,2026-03-08T17:30:10.778197
7,cam0_sess000003660846_000007.jpg,3660846,2026-03-08T17:30:10.882508
8,cam0_sess000003765196_000008.jpg,3765196,2026-03-08T17:30:10.986858
9,cam0_sess000003869538_000009.jpg,3869538,2026-03-08T17:30:11.091200
10,cam0_sess000003974177_000010.jpg,3974177,2026-03-08T17:30:11.195839
11,cam0_sess000004078660_000011.jpg,4078660,2026-03-08T17:30:11.300324
12,cam0_sess000004183031_000012.jpg,4183031,2026-03-08T17:30:11.404693
13,cam0_sess000004287445_000013.jpg,4287445,2026-03-08T17:30:11.509109
14,cam0_sess000004391815_000014.jpg,4391815,2026-03-08T17:30:11.613478
15,cam0_sess000004496101_000015.jpg,4496101,2026-03-08T17:30:11.717765
16,cam0_sess000004601022_000016.jpg,4601022,2026-03-08T17:30:11.822685
17,cam0_sess000004705406_000017.jpg,4705406,2026-03-08T17:30:11.927068
18,cam0_sess000004809795_000018.jpg,4809795,2026-03-08T17:30:12.031458
19,cam0_sess000004914765_000019.jpg,4914765,2026-03-08T17:30:12.136423
20,cam0_sess000005019636_000020.jpg,5019636,2026-03-08T17:30:12.241300
21,cam0_sess000005124100_000021.jpg,5124100,2026-03-08T17:30:12.345764
22,cam0_sess000005228586_000022.jpg,5228586,2026-03-08T17:30:12.450251
23,cam0_sess000005332913_000023.jpg,5332913,2026-03-08T17:30:12.554575
24,cam0_sess000005437217_000024.jpg,5437217,2026-03-08T17:30:12.658880
25,cam0_sess000005541574_000025.jpg,5541574,2026-03-08T17:30:12.763236
26,cam0_sess000005645911_000026.jpg,5645911,2026-03-08T17:30:12.867573
27,cam0_sess000005750513_000027.jpg,5750513,2026-03-08T17:30:12.972176
28,cam0_sess000005854849_000028.jpg,5854849,2026-03-08T17:30:13.076512
29,cam0_sess000005959219_000029.jpg,5959219,2026-03-08T17:30:13.180881
30,cam0_sess000006063792_000030.jpg,6063792,2026-03-08T17:30:13.285454
31,cam0_sess000006168209_000031.jpg,6168209,2026-03-08T17:30:13.389872
32,cam0_sess000006272623_000032.jpg,6272623,2026-03-08T17:30:13.494285
33,cam0_sess000006377554_000033.jpg,6377554,2026-03-08T17:30:13.599218
34,cam0_sess000006481697_000034.jpg,6481697,2026-03-08T17:30:13.703361
35,cam0_sess000006585912_000035.jpg,6585912,2026-03-08T17:30:13.807575
36,cam0_sess000006690122_000036.jpg,6690122,2026-03-08T17:30:13.911786
37,cam0_sess000006794302_000037.jpg,6794302,2026-03-08T17:30:14.015966
38,cam0_sess000006898447_000038.jpg,6898447,2026-03-08T17:30:14.120111
39,cam0_sess000007002592_000039.jpg,7002592,2026-03-08T17:30:14.224256
40,cam0_sess000007106916_000040.jpg,7106916,2026-03-08T17:30:14.328578
41,cam0_sess000007211147_000041.jpg,7211147,2026-03-08T17:30:14.432811
42,cam0_sess000007315354_000042.jpg,7315354,2026-03-08T17:30:14.537017
43,cam0_sess000007419533_000043.jpg,7419533,2026-03-08T17:30:14.641194
44,cam0_sess000007523701_000044.jpg,7523701,2026-03-08T17:30:14.745364
45,cam0_sess000007627806_000045.jpg,7627806,2026-03-08T17:30:14.849470
46,cam0_sess000007732108_000046.jpg,7732108,2026-03-08T17:30:14.953770
47,cam0_sess000007836250_000047.jpg,7836250,2026-03-08T17:30:15.057914
48,cam0_sess000007940430_000048.jpg,7940430,2026-03-08T17:30:15.162092
49,cam0_sess000008044525_000049.jpg,8044525,2026-03-08T17:30:15.266190
50,cam0_sess000008148929_000050.jpg,8148929,2026-03-08T17:30:15.370593
51,cam0_sess000008253073_000051.jpg,8253073,2026-03-08T17:30:15.474720
52,cam0_sess000008357202_000052.jpg,8357202,2026-03-08T17:30:15.578865
53,cam0_sess000008461320_000053.jpg,8461320,2026-03-08T17:30:15.682983
54,cam0_sess000008565426_000054.jpg,8565426,2026-03-08T17:30:15.787089
55,cam0_sess000008669566_000055.jpg,8669566,2026-03-08T17:30:15.891231
56,cam0_sess000008773748_000056.jpg,8773748,2026-03-08T17:30:15.995412
57,cam0_sess000008877951_000057.jpg,8877951,2026-03-08T17:30:16.099615
58,cam0_sess000008982114_000058.jpg,8982114,2026-03-08T17:30:16.203775
59,cam0_sess000009086274_000059.jpg,9086274,2026-03-08T17:30:16.307937
60,cam0_sess000009190603_000060.jpg,9190603,2026-03-08T17:30:16.412266
61,cam0_sess000009294752_000061.jpg,9294752,2026-03-08T17:30:16.516413
62,cam0_sess000009398877_000062.jpg,9398877,2026-03-08T17:30:16.620540
63,cam0_sess000009503075_000063.jpg,9503075,2026-03-08T17:30:16.724711
64,cam0_sess000009607289_000064.jpg,9607289,2026-03-08T17:30:16.828951
65,cam0_sess000009711415_000065.jpg,9711415,2026-03-08T17:30:16.933078
66,cam0_sess000009815526_000066.jpg,9815526,2026-03-08T17:30:17.037188
67,cam0_sess000009919684_000067.jpg,9919684,2026-03-08T17:30:17.141347
68,cam0_sess000010023799_000068.jpg,10023799,2026-03-08T17:30:17.245462
69,cam0_sess000010127932_000069.jpg,10127932,2026-03-08T17:30:17.349595
70,cam0_sess000010232305_000070.jpg,10232305,2026-03-08T17:30:17.453968
71,cam0_sess000010336437_000071.jpg,10336437,2026-03-08T17:30:17.558100
72,cam0_sess000010440537_000072.jpg,10440537,2026-03-08T17:30:17.662200
73,cam0_sess000010544616_000073.jpg,10544616,2026-03-08T17:30:17.766279
74,cam0_sess000010648691_000074.jpg,10648691,2026-03-08T17:30:17.870354
75,cam0_sess000010752763_000075.jpg,10752763,2026-03-08T17:30:17.974427
76,cam0_sess000010856873_000076.jpg,10856873,2026-03-08T17:30:18.078535
77,cam0_sess000010960949_000077.jpg,10960949,2026-03-08T17:30:18.182611
78,cam0_sess000011065865_000078.jpg,11065865,2026-03-08T17:30:18.287529
79,cam0_sess000011170694_000079.jpg,11170694,2026-03-08T17:30:18.392363
80,cam0_sess000011275574_000080.jpg,11275574,2026-03-08T17:30:18.497236
81,cam0_sess000011381345_000081.jpg,11381345,2026-03-08T17:30:18.603008
82,cam0_sess000011486980_000082.jpg,11486980,2026-03-08T17:30:18.708642
83,cam0_sess000011591922_000083.jpg,11591922,2026-03-08T17:30:18.813584
84,cam0_sess000011697053_000084.jpg,11697053,2026-03-08T17:30:18.918700
85,cam0_sess000011801708_000085.jpg,11801708,2026-03-08T17:30:19.023370
86,cam0_sess000011906588_000086.jpg,11906588,2026-03-08T17:30:19.128239
87,cam0_sess000012011492_000087.jpg,12011492,2026-03-08T17:30:19.233154
88,cam0_sess000012116384_000088.jpg,12116384,2026-03-08T17:30:19.338046
89,cam0_sess000012220857_000089.jpg,12220857,2026-03-08T17:30:19.442519
90,cam0_sess000012325702_000090.jpg,12325702,2026-03-08T17:30:19.547365
91,cam0_sess000012430257_000091.jpg,12430257,2026-03-08T17:30:19.651918
92,cam0_sess000012534867_000092.jpg,12534867,2026-03-08T17:30:19.756530
93,cam0_sess000012639292_000093.jpg,12639292,2026-03-08T17:30:19.860955
94,cam0_sess000012743812_000094.jpg,12743812,2026-03-08T17:30:19.965475
95,cam0_sess000012848405_000095.jpg,12848405,2026-03-08T17:30:20.070067
96,cam0_sess000012952851_000096.jpg,12952851,2026-03-08T17:30:20.174513
97,cam0_sess000013057519_000097.jpg,13057519,2026-03-08T17:30:20.279157
98,cam0_sess000013161966_000098.jpg,13161966,2026-03-08T17:30:20.383629
99,cam0_sess000013266384_000099.jpg,13266384,2026-03-08T17:30:20.488046
100,cam0_sess000013371063_000100.jpg,13371063,2026-03-08T17:30:20.592709
101,cam0_sess000013475455_000101.jpg,13475455,2026-03-08T17:30:20.697117
102,cam0_sess000013580226_000102.jpg,13580226,2026-03-08T17:30:20.801889
103,cam0_sess000013684503_000103.jpg,13684503,2026-03-08T17:30:20.906165
104,cam0_sess000013789114_000104.jpg,13789114,2026-03-08T17:30:21.010775
105,cam0_sess000013893540_000105.jpg,13893540,2026-03-08T17:30:21.115202
106,cam0_sess000013997911_000106.jpg,13997911,2026-03-08T17:30:21.219573
107,cam0_sess000014102726_000107.jpg,14102726,2026-03-08T17:30:21.324368
108,cam0_sess000014207148_000108.jpg,14207148,2026-03-08T17:30:21.428809
109,cam0_sess000014311747_000109.jpg,14311747,2026-03-08T17:30:21.533391
110,cam0_sess000014416506_000110.jpg,14416506,2026-03-08T17:30:21.638168
111,cam0_sess000014521097_000111.jpg,14521097,2026-03-08T17:30:21.742758
112,cam0_sess000014625650_000112.jpg,14625650,2026-03-08T17:30:21.847312
113,cam0_sess000014730156_000113.jpg,14730156,2026-03-08T17:30:21.951818
114,cam0_sess000014834553_000114.jpg,14834553,2026-03-08T17:30:22.056215
115,cam0_sess000014939318_000115.jpg,14939318,2026-03-08T17:30:22.160980
116,cam0_sess000015043732_000116.jpg,15043732,2026-03-08T17:30:22.265394
117,cam0_sess000015148265_000117.jpg,15148265,2026-03-08T17:30:22.369925
118,cam0_sess000015252844_000118.jpg,15252844,2026-03-08T17:30:22.474506
119,cam0_sess000015357444_000119.jpg,15357444,2026-03-08T17:30:22.579104
120,cam0_sess000015462064_000120.jpg,15462064,2026-03-08T17:30:22.683705
121,cam0_sess000015566778_000121.jpg,15566778,2026-03-08T17:30:22.788440
122,cam0_sess000015671332_000122.jpg,15671332,2026-03-08T17:30:22.892993
